song name,artist,wav file location
poison,jaydes,downloads/poison - jaydes.wav
Move Along,The All-American Rejects,downloads/Move Along - The All-American Rejects.wav
TBH,PARTYNEXTDOOR,downloads/TBH - PARTYNEXTDOOR.wav
iSpy (feat. Lil Yachty),KYLE,downloads/iSpy (feat. Lil Yachty) - KYLE.wav
Winter Bear,V,downloads/Winter Bear - V.wav
Juna,Clairo,downloads/Juna - Clairo.wav
Love on Top,Beyoncé,downloads/Love on Top - Beyoncé.wav
You Really Got Me,The Kinks,downloads/You Really Got Me - The Kinks.wav
There’d Better Be A Mirrorball,Arctic Monkeys,downloads/There’d Better Be A Mirrorball - Arctic Monkeys.wav
Whiplash (English Version),aespa,downloads/Whiplash (English Version) - aespa.wav
Roddy,Djo,downloads/Roddy - Djo.wav
See You Again,Miley Cyrus,downloads/See You Again - Miley Cyrus.wav
Black Widow,Iggy Azalea,downloads/Black Widow - Iggy Azalea.wav
King for a Day,Pierce The Veil,downloads/King for a Day - Pierce The Veil.wav
Daechwita,Agust D,downloads/Daechwita - Agust D.wav
Come to Me,Björk,downloads/Come to Me - Björk.wav
changes,xxxtentacion,downloads/changes - xxxtentacion.wav
Railway (BANG CHAN),STRAY KIDS,downloads/Railway (BANG CHAN) - STRAY KIDS.wav
She Wolf,Shakira,downloads/She Wolf - Shakira.wav
Guerrilla,ATEEZ,downloads/Guerrilla - ATEEZ.wav
Owner of a Lonely Heart,Yes,downloads/Owner of a Lonely Heart - Yes.wav
NO. 9,Playboi Carti,downloads/NO. 9 - Playboi Carti.wav
Cemetery Drive,My Chemical Romance,downloads/Cemetery Drive - My Chemical Romance.wav
Igual Que Un Ángel (with Peso Pluma),Kali Uchis,downloads/Igual Que Un Ángel (with Peso Pluma) - Kali Uchis.wav
kisses,Slowdive,downloads/kisses - Slowdive.wav
Green River,Creedence Clearwater Revival,downloads/Green River - Creedence Clearwater Revival.wav
Intentions (feat. Quavo),Justin Bieber,downloads/Intentions (feat. Quavo) - Justin Bieber.wav
Thank You for the Venom,My Chemical Romance,downloads/Thank You for the Venom - My Chemical Romance.wav
Sugar,Sleep Token,downloads/Sugar - Sleep Token.wav
Ain't No Rest for the Wicked,Cage the Elephant,downloads/Ain't No Rest for the Wicked - Cage the Elephant.wav
Ponyboy,Sophie,downloads/Ponyboy - Sophie.wav
F o r C e r t a i n,PARTYNEXTDOOR,downloads/F o r C e r t a i n - PARTYNEXTDOOR.wav
