song name,artist,wav file location
All Too Well (Taylor's Version),Taylor Swift,downloads/All Too Well (Taylor's Version) - Taylor Swift.wav
(They Long to Be) Close to You,Carpenters,downloads/(They Long to Be) Close to You - Carpenters.wav
Bad Liar,Imagine Dragons,downloads/Bad Liar - Imagine Dragons.wav
HIDE N SEEK,Doechii,downloads/HIDE N SEEK - Doechii.wav
Americano,Lady Gaga,downloads/Americano - Lady Gaga.wav
Classy Girl,Turbo,downloads/Classy Girl - Turbo.wav
"Dias De Luta, Dias De Gloria",Charlie Brown JR.,"downloads/Dias De Luta, Dias De Gloria - Charlie Brown JR..wav"
Dancing Queen,From 'Mamma Mia!' Original Motion Picture Soundtrack - Meryl Streep,downloads/Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack - Meryl Streep.wav
still love you (todavía),The Tulips,downloads/still love you (todavía) - The Tulips.wav
Fly As Me,Bruno Mars,downloads/Fly As Me - Bruno Mars.wav
Bloody Cape,Deftones,downloads/Bloody Cape - Deftones.wav
Eye of the Tiger,Survivor,downloads/Eye of the Tiger - Survivor.wav
Asleep,2011 Remaster - The Smiths,downloads/Asleep - 2011 Remaster - The Smiths.wav
Day 'n' Nite (Nightmare),Kid Cudi,downloads/Day 'n' Nite (Nightmare) - Kid Cudi.wav
Stayin' Alive,"From ""Saturday Night Fever"" Soundtrack - Bee Gees","downloads/Stayin' Alive - From ""Saturday Night Fever"" Soundtrack - Bee Gees.wav"
lowkey,Niki,downloads/lowkey - Niki.wav
don't go insane,DPR IAN,downloads/don't go insane - DPR IAN.wav
Atlantic,Sleep Token,downloads/Atlantic - Sleep Token.wav
The New Workout Plan,Kanye West,downloads/The New Workout Plan - Kanye West.wav
New Bottega,Torren Foot,downloads/New Bottega - Torren Foot.wav
on the street (solo version),J-Hope,downloads/on the street (solo version) - J-Hope.wav
Can we talk about Isaac?,Rachel Chinouriri,downloads/Can we talk about Isaac? - Rachel Chinouriri.wav
Stuck in the Middle With You,Stealers Wheel,downloads/Stuck in the Middle With You - Stealers Wheel.wav
On & On,Cartoon,downloads/On & On - Cartoon.wav
679 (Feat. Remy Boyz),Fetty Wap,downloads/679 (Feat. Remy Boyz) - Fetty Wap.wav
Lemon Tree,Fools Garden,downloads/Lemon Tree - Fools Garden.wav
Painkiller,Judas Priest,downloads/Painkiller - Judas Priest.wav
Camisado,Panic! at the Disco,downloads/Camisado - Panic! at the Disco.wav
L$D,A$AP Rocky,downloads/L$D - A$AP Rocky.wav
Heart Attack (츄),Loona,downloads/Heart Attack (츄) - Loona.wav
CLYDE (I Hope At Least One of My Ex-Girlfriends Hears This),$uicideboy$,downloads/CLYDE (I Hope At Least One of My Ex-Girlfriends Hears This) - $uicideboy$.wav
A.D.I.D.A.S.,Korn,downloads/A.D.I.D.A.S. - Korn.wav
S P E Y S I D E,Bon Iver,downloads/S P E Y S I D E - Bon Iver.wav
"Numb, But I Still Feel It",Title Fight,"downloads/Numb, But I Still Feel It - Title Fight.wav"
TRULY,Cigarettes After Sex,downloads/TRULY - Cigarettes After Sex.wav
TOXIC,Playboi Carti,downloads/TOXIC - Playboi Carti.wav
YOU (FT DON TOLIVER),NAV,downloads/YOU (FT DON TOLIVER) - NAV.wav
Sober II (Melodrama),Lorde,downloads/Sober II (Melodrama) - Lorde.wav
Devastated,Joey Bada$$,downloads/Devastated - Joey Bada$$.wav
Say,Keshi,downloads/Say - Keshi.wav
The Rhythm of the Night,Corona,downloads/The Rhythm of the Night - Corona.wav
Training Season,Dua Lipa,downloads/Training Season - Dua Lipa.wav
Neverita,Bad Bunny,downloads/Neverita - Bad Bunny.wav
Lilith,Saint Avangeline,downloads/Lilith - Saint Avangeline.wav
We Built This City,Starship,downloads/We Built This City - Starship.wav
M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR,downloads/M a k e I t T o T h e M o r n i n g - PARTYNEXTDOOR.wav
My Blood,Twenty One Pilots,downloads/My Blood - Twenty One Pilots.wav
223's (feat. 9lokknine),YNW Melly,downloads/223's (feat. 9lokknine) - YNW Melly.wav
In For It,Tory Lanez,downloads/In For It - Tory Lanez.wav
Lovers,Anna of the North,downloads/Lovers - Anna of the North.wav
Say My Name,Alex Brightman,downloads/Say My Name - Alex Brightman.wav
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,"downloads/Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - David Guetta.wav"
In My Feelings,Lana Del Rey,downloads/In My Feelings - Lana Del Rey.wav
Count on Me,Bruno Mars,downloads/Count on Me - Bruno Mars.wav
A Thousand Miles,Vanessa Carlton,downloads/A Thousand Miles - Vanessa Carlton.wav
The Flower Garden,Joe Hisaishi,downloads/The Flower Garden - Joe Hisaishi.wav
The Heart Part 5,Kendrick Lamar,downloads/The Heart Part 5 - Kendrick Lamar.wav
Fireside,Arctic Monkeys,downloads/Fireside - Arctic Monkeys.wav
Sailor Song,Gigi Perez,downloads/Sailor Song - Gigi Perez.wav
I hope that you think of me,Pity Party (Girls Club),downloads/I hope that you think of me - Pity Party (Girls Club).wav
if I can't have you,Shawn Mendes,downloads/if I can't have you - Shawn Mendes.wav
Teacher's Pet,Melanie Martinez,downloads/Teacher's Pet - Melanie Martinez.wav
Carry Me Out,Mitski,downloads/Carry Me Out - Mitski.wav
This Is What The Drugs Are For,Gracie Abrams,downloads/This Is What The Drugs Are For - Gracie Abrams.wav
Várias Queixas,Gilsons,downloads/Várias Queixas - Gilsons.wav
Killing in the Name,Rage Against the Machine,downloads/Killing in the Name - Rage Against the Machine.wav
I like the way you kiss me,Artemas,downloads/I like the way you kiss me - Artemas.wav
Free Bird,Lynyrd Skynyrd,downloads/Free Bird - Lynyrd Skynyrd.wav
Baba O'Riley,The Who,downloads/Baba O'Riley - The Who.wav
my ex's best friend (with blackbear),MGK,downloads/my ex's best friend (with blackbear) - MGK.wav
Mother,Danzig,downloads/Mother - Danzig.wav
The Search,NF,downloads/The Search - NF.wav
I Think He Knows,Taylor Swift,downloads/I Think He Knows - Taylor Swift.wav
IN YOUR EYES,Snoh Aalegra,downloads/IN YOUR EYES - Snoh Aalegra.wav
Link,Djo,downloads/Link - Djo.wav
Rushmere,Mumford & Sons,downloads/Rushmere - Mumford & Sons.wav
Voodoo Child (Slight Return),Jimi Hendrix,downloads/Voodoo Child (Slight Return) - Jimi Hendrix.wav
GGUM,Yeonjun,downloads/GGUM - Yeonjun.wav
7 rings,Ariana Grande,downloads/7 rings - Ariana Grande.wav
Teal,Wunderhorse,downloads/Teal - Wunderhorse.wav
VACATION BIBLE SCHOOL,Ayesha Erotica,downloads/VACATION BIBLE SCHOOL - Ayesha Erotica.wav
FANTASMA (versão GORDÃO DO PC),GORDÃO DO PC,downloads/FANTASMA (versão GORDÃO DO PC) - GORDÃO DO PC.wav
Help Me,Joni Mitchell,downloads/Help Me - Joni Mitchell.wav
Head In The Ceiling Fan,Title Fight,downloads/Head In The Ceiling Fan - Title Fight.wav
Is This Love,Bob Marley & The Wailers,downloads/Is This Love - Bob Marley & The Wailers.wav
One Last Time,Ariana Grande,downloads/One Last Time - Ariana Grande.wav
Dream Brother,Jeff Buckley,downloads/Dream Brother - Jeff Buckley.wav
Bad Boy (with Young Thug),Juice WRLD,downloads/Bad Boy (with Young Thug) - Juice WRLD.wav
M3tamorphosis (feat. Kid Cudi),Playboi Carti,downloads/M3tamorphosis (feat. Kid Cudi) - Playboi Carti.wav
Pull Up,Playboi Carti,downloads/Pull Up - Playboi Carti.wav
"Afterlife (from the Netflix Series ""Devil May Cry"")",Evanescence,"downloads/Afterlife (from the Netflix Series ""Devil May Cry"") - Evanescence.wav"
Prayer In C,Robin Schulz Radio Edit - Lilly Wood and The Prick,downloads/Prayer In C - Robin Schulz Radio Edit - Lilly Wood and The Prick.wav
The Perfect Girl,Mareux,downloads/The Perfect Girl - Mareux.wav
afraid (feat. nate sib),2hollis,downloads/afraid (feat. nate sib) - 2hollis.wav
Nosetalgia,Pusha T,downloads/Nosetalgia - Pusha T.wav
Brown Eyed Girl,Van Morrison,downloads/Brown Eyed Girl - Van Morrison.wav
I Fall in Love Too Easily,Chet Baker,downloads/I Fall in Love Too Easily - Chet Baker.wav
Formula,Labrinth,downloads/Formula - Labrinth.wav
Alors On Danse,Radio Edit - Stromae,downloads/Alors On Danse - Radio Edit - Stromae.wav
"""The Take Over, the Breaks Over""",Fall Out Boy,"downloads/""The Take Over, the Breaks Over"" - Fall Out Boy.wav"
Fiesta,IZ*ONE,downloads/Fiesta - IZ*ONE.wav
Solta Minha Blusa,pumapjl,downloads/Solta Minha Blusa - pumapjl.wav
Good Night,Kanye West,downloads/Good Night - Kanye West.wav
Dissolved Girl,Massive Attack,downloads/Dissolved Girl - Massive Attack.wav
Just Like Heaven,The Cure,downloads/Just Like Heaven - The Cure.wav
Tom Tom,Holy Fuck,downloads/Tom Tom - Holy Fuck.wav
Chemical,Post Malone,downloads/Chemical - Post Malone.wav
it’s time to go,bonus track - Taylor Swift,downloads/it’s time to go - bonus track - Taylor Swift.wav
Hrs & Hrs,Muni Long,downloads/Hrs & Hrs - Muni Long.wav
At Home,Slow Pulp,downloads/At Home - Slow Pulp.wav
Forrest Gump,Frank Ocean,downloads/Forrest Gump - Frank Ocean.wav
love dive,Ive,downloads/love dive - Ive.wav
Watching T.V.,MAGDALENA BAY,downloads/Watching T.V. - MAGDALENA BAY.wav
SICKO MODE,Travis Scott,downloads/SICKO MODE - Travis Scott.wav
Helena,My Chemical Romance,downloads/Helena - My Chemical Romance.wav
Blessed-Cursed,ENHYPEN,downloads/Blessed-Cursed - ENHYPEN.wav
P2,LIL UZI VERT,downloads/P2 - LIL UZI VERT.wav
Can't Get Enough,J. Cole,downloads/Can't Get Enough - J. Cole.wav
Live Forever,Remastered - Oasis,downloads/Live Forever - Remastered - Oasis.wav
Bangarang (feat. Sirah),Skrillex,downloads/Bangarang (feat. Sirah) - Skrillex.wav
PROMOTION,¥$,downloads/PROMOTION - ¥$.wav
SUMMER,BROCKHAMPTON,downloads/SUMMER - BROCKHAMPTON.wav
DEGENERE 👑 (feat. benny blanco),Myke Towers,downloads/DEGENERE 👑 (feat. benny blanco) - Myke Towers.wav
Waltzing Back,no vacation,downloads/Waltzing Back - no vacation.wav
Bite The Hand,Boygenius,downloads/Bite The Hand - Boygenius.wav
Ma Meilleure Ennemie (from the series Arcane League of Legends),Arcane,downloads/Ma Meilleure Ennemie (from the series Arcane League of Legends) - Arcane.wav
CINEMA (Lee Know & Seungmin),STRAY KIDS,downloads/CINEMA (Lee Know & Seungmin) - STRAY KIDS.wav
Cola,Lana Del Rey,downloads/Cola - Lana Del Rey.wav
Look Here,BTS,downloads/Look Here - BTS.wav
Music Box : Reflection,J-Hope,downloads/Music Box : Reflection - J-Hope.wav
Talk talk,Charli XCX,downloads/Talk talk - Charli XCX.wav
Babydoll,Ari Abdul,downloads/Babydoll - Ari Abdul.wav
Heads Will Roll,A-Trak Remix Radio Edit - Yeah Yeah Yeahs,downloads/Heads Will Roll - A-Trak Remix Radio Edit - Yeah Yeah Yeahs.wav
Lost in Hollywood,System of a Down,downloads/Lost in Hollywood - System of a Down.wav
Best Of Me,BTS,downloads/Best Of Me - BTS.wav
LEMONHEAD (feat. 42 Dugg),"Tyler, the Creator","downloads/LEMONHEAD (feat. 42 Dugg) - Tyler, the Creator.wav"
Workin Out,Jid,downloads/Workin Out - Jid.wav
Love Me Like You,Little Mix,downloads/Love Me Like You - Little Mix.wav
Medicine,Sasuke Haraguchi,downloads/Medicine - Sasuke Haraguchi.wav
Bad Reviews,Sabrina Carpenter,downloads/Bad Reviews - Sabrina Carpenter.wav
WHATCHU KNO ABOUT ME (feat. Sexyy Red),Glorilla,downloads/WHATCHU KNO ABOUT ME (feat. Sexyy Red) - Glorilla.wav
Young Girl A,Siinamota,downloads/Young Girl A - Siinamota.wav
Bags,Clairo,downloads/Bags - Clairo.wav
TALK TALK FEATURING TROYE SIVAN,Charli XCX,downloads/TALK TALK FEATURING TROYE SIVAN - Charli XCX.wav
Crush,Ethel Cain,downloads/Crush - Ethel Cain.wav
It's Me & You,Tokyo Tea Room,downloads/It's Me & You - Tokyo Tea Room.wav
Tennessee Orange,Megan Moroney,downloads/Tennessee Orange - Megan Moroney.wav
"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",A$AP Rocky,"downloads/1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.) - A$AP Rocky.wav"
iLLIcIt afFAiRS,Taylor Swift,downloads/iLLIcIt afFAiRS - Taylor Swift.wav
DICE,NMixx,downloads/DICE - NMixx.wav
She Calls Me Back (with Kacey Musgraves),Noah Kahan,downloads/She Calls Me Back (with Kacey Musgraves) - Noah Kahan.wav
Don't Bring Me Down,Electric Light Orchestra,downloads/Don't Bring Me Down - Electric Light Orchestra.wav
Impact (with xaviersobased),nettspend,downloads/Impact (with xaviersobased) - nettspend.wav
So American,Olivia Rodrigo,downloads/So American - Olivia Rodrigo.wav
러시안 룰렛 Russian Roulette,Red Velvet,downloads/러시안 룰렛 Russian Roulette - Red Velvet.wav
Anthems for a Seventeen Year-Old Girl,Broken Social Scene,downloads/Anthems for a Seventeen Year-Old Girl - Broken Social Scene.wav
Bored,Deftones,downloads/Bored - Deftones.wav
You’re Losing Me (From the Vault),Taylor Swift,downloads/You’re Losing Me (From the Vault) - Taylor Swift.wav
Levitating,Dua Lipa,downloads/Levitating - Dua Lipa.wav
Miss Independent,Ne-Yo,downloads/Miss Independent - Ne-Yo.wav
California Gurls,Katy Perry,downloads/California Gurls - Katy Perry.wav
Don't Know What To Do,BLACKPINK,downloads/Don't Know What To Do - BLACKPINK.wav
Lust for Life (with The Weeknd),Lana Del Rey,downloads/Lust for Life (with The Weeknd) - Lana Del Rey.wav
Purple Swag,A$AP Rocky,downloads/Purple Swag - A$AP Rocky.wav
In a Good Way,Faye Webster,downloads/In a Good Way - Faye Webster.wav
As the World Caves In,Matt Maltese,downloads/As the World Caves In - Matt Maltese.wav
Flowers,Miley Cyrus,downloads/Flowers - Miley Cyrus.wav
Bubbly (with Drake & Travis Scott),Young Thug,downloads/Bubbly (with Drake & Travis Scott) - Young Thug.wav
favorite,Isabel LaRosa,downloads/favorite - Isabel LaRosa.wav
MTG NA IMAGINAÇÃO,TOPO SESSIONS VOL. 1 - DJ Topo,downloads/MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1 - DJ Topo.wav
Art of War,AveNoir,downloads/Art of War - AveNoir.wav
Wake Me Up (feat. Justice),The Weeknd,downloads/Wake Me Up (feat. Justice) - The Weeknd.wav
Mac’s Omelette,Panchiko,downloads/Mac’s Omelette - Panchiko.wav
No More Parties In LA,Kanye West,downloads/No More Parties In LA - Kanye West.wav
Acolyte,"Slaughter Beach, Dog","downloads/Acolyte - Slaughter Beach, Dog.wav"
Voltei Pra Mim,Marina Sena,downloads/Voltei Pra Mim - Marina Sena.wav
Succubus,Ken Carson,downloads/Succubus - Ken Carson.wav
GOODIE BAG,Still Woozy,downloads/GOODIE BAG - Still Woozy.wav
Velvet Ring,Big Thief,downloads/Velvet Ring - Big Thief.wav
FRICKY VIP,Skrillex,downloads/FRICKY VIP - Skrillex.wav
America,Simon & Garfunkel,downloads/America - Simon & Garfunkel.wav
From Time,Drake,downloads/From Time - Drake.wav
un x100to,Grupo Frontera,downloads/un x100to - Grupo Frontera.wav
Some Way,NAV,downloads/Some Way - NAV.wav
Dry Hands,C418,downloads/Dry Hands - C418.wav
Doctor! Doctor!,ZEROBASEONE,downloads/Doctor! Doctor! - ZEROBASEONE.wav
Freaking Out the Neighborhood,Mac DeMarco,downloads/Freaking Out the Neighborhood - Mac DeMarco.wav
Two Birds,Regina Spektor,downloads/Two Birds - Regina Spektor.wav
Steal My Girl,One Direction,downloads/Steal My Girl - One Direction.wav
Con Calma,Daddy Yankee,downloads/Con Calma - Daddy Yankee.wav
Make It Right,BTS,downloads/Make It Right - BTS.wav
Can't Feel My Face,The Weeknd,downloads/Can't Feel My Face - The Weeknd.wav
Where You Are,John Summit,downloads/Where You Are - John Summit.wav
Softly,Clairo,downloads/Softly - Clairo.wav
willow,Taylor Swift,downloads/willow - Taylor Swift.wav
New Light,John Mayer,downloads/New Light - John Mayer.wav
Yeah Boy and Doll Face,Pierce The Veil,downloads/Yeah Boy and Doll Face - Pierce The Veil.wav
X-Wing,Denzel Curry,downloads/X-Wing - Denzel Curry.wav
I'LL LIKE YOU,Illit,downloads/I'LL LIKE YOU - Illit.wav
Hasta Cuando,Kali Uchis,downloads/Hasta Cuando - Kali Uchis.wav
euphoria,Kendrick Lamar,downloads/euphoria - Kendrick Lamar.wav
Christian Woman,Type O Negative,downloads/Christian Woman - Type O Negative.wav
Lights Up,Harry Styles,downloads/Lights Up - Harry Styles.wav
1x1 (feat. Nova Twins),Bring Me the Horizon,downloads/1x1 (feat. Nova Twins) - Bring Me the Horizon.wav
The Diary of Jane,Single Version - Breaking Benjamin,downloads/The Diary of Jane - Single Version - Breaking Benjamin.wav
Jungle,Drake,downloads/Jungle - Drake.wav
The Times They Are a-Changin',Bob Dylan,downloads/The Times They Are a-Changin' - Bob Dylan.wav
Si Veo a Tu Mamá,Bad Bunny,downloads/Si Veo a Tu Mamá - Bad Bunny.wav
Childs Play (Feat. Chance The Rapper),SZA,downloads/Childs Play (Feat. Chance The Rapper) - SZA.wav
BRIAN STEEL,Drake,downloads/BRIAN STEEL - Drake.wav
Feeling Like The End,Joji,downloads/Feeling Like The End - Joji.wav
Secrets From A Girl (Who's Seen It All),Lorde,downloads/Secrets From A Girl (Who's Seen It All) - Lorde.wav
Coffee,beabadoobee,downloads/Coffee - beabadoobee.wav
It's Up (feat. Young Thug & 21 Savage),Drake,downloads/It's Up (feat. Young Thug & 21 Savage) - Drake.wav
Just One Day,BTS,downloads/Just One Day - BTS.wav
Poison,Alice Cooper,downloads/Poison - Alice Cooper.wav
Dumbest Girl Alive,100 gecs,downloads/Dumbest Girl Alive - 100 gecs.wav
Love Is a Losing Game,Amy Winehouse,downloads/Love Is a Losing Game - Amy Winehouse.wav
Change the Channel,clipping.,downloads/Change the Channel - clipping..wav
Pretty Girls,Reneé Rapp,downloads/Pretty Girls - Reneé Rapp.wav
Capable of love,pinkpantheress,downloads/Capable of love - pinkpantheress.wav
VTMNTSCOAT,Destroy Lonely,downloads/VTMNTSCOAT - Destroy Lonely.wav
Good Girls Bad Guys,Falling in Reverse,downloads/Good Girls Bad Guys - Falling in Reverse.wav
champagne problems,Taylor Swift,downloads/champagne problems - Taylor Swift.wav
Phone Numbers,Dominic Fike,downloads/Phone Numbers - Dominic Fike.wav
Can I Call You Tonight?,Dayglow,downloads/Can I Call You Tonight? - Dayglow.wav
Northern Attitude,Noah Kahan,downloads/Northern Attitude - Noah Kahan.wav
Paranoid,2012 - Remaster - Black Sabbath,downloads/Paranoid - 2012 - Remaster - Black Sabbath.wav
The Modern Age,The Strokes,downloads/The Modern Age - The Strokes.wav
Six Blade Knife,Dire Straits,downloads/Six Blade Knife - Dire Straits.wav
I Love It (feat. Charli XCX),Icona Pop,downloads/I Love It (feat. Charli XCX) - Icona Pop.wav
SDL,Agust D,downloads/SDL - Agust D.wav
Last Summer Whisper,Anri,downloads/Last Summer Whisper - Anri.wav
Self Esteem,The Offspring,downloads/Self Esteem - The Offspring.wav
Would? (2022 Remaster),Alice in Chains,downloads/Would? (2022 Remaster) - Alice in Chains.wav
On the Run,Pink Floyd,downloads/On the Run - Pink Floyd.wav
Uh Uh (Feat. Playboi Carti),Chief Keef,downloads/Uh Uh (Feat. Playboi Carti) - Chief Keef.wav
Renegade,Big Red Machine,downloads/Renegade - Big Red Machine.wav
Depois,Marisa Monte,downloads/Depois - Marisa Monte.wav
Vampires Will Never Hurt You,My Chemical Romance,downloads/Vampires Will Never Hurt You - My Chemical Romance.wav
Call Your Mom (with Lizzy McAlpine),Noah Kahan,downloads/Call Your Mom (with Lizzy McAlpine) - Noah Kahan.wav
Crazy Story (feat. Lil Durk),Remix - King Von,downloads/Crazy Story (feat. Lil Durk) - Remix - King Von.wav
hand crushed by a mallet,100 gecs,downloads/hand crushed by a mallet - 100 gecs.wav
BACKR00MS (with Travis Scott),Playboi Carti,downloads/BACKR00MS (with Travis Scott) - Playboi Carti.wav
Ride,The Marías,downloads/Ride - The Marías.wav
The Devil Went Down To Georgia,The Charlie Daniels Band,downloads/The Devil Went Down To Georgia - The Charlie Daniels Band.wav
Treehouse,Alex G,downloads/Treehouse - Alex G.wav
? (Interlude),RM,downloads/? (Interlude) - RM.wav
258,Yeji,downloads/258 - Yeji.wav
Abracadabra,Lady Gaga,downloads/Abracadabra - Lady Gaga.wav
The Man Who Can't Be Moved,The Script,downloads/The Man Who Can't Be Moved - The Script.wav
1999,Charli XCX,downloads/1999 - Charli XCX.wav
Nokia,Drake,downloads/Nokia - Drake.wav
Draco,Future,downloads/Draco - Future.wav
Back to School (Mini Maggit),Deftones,downloads/Back to School (Mini Maggit) - Deftones.wav
After Party,Don Toliver,downloads/After Party - Don Toliver.wav
my future,Billie Eilish,downloads/my future - Billie Eilish.wav
Jonny,Faye Webster,downloads/Jonny - Faye Webster.wav
2AM,SZA,downloads/2AM - SZA.wav
Lady Of Namek,Tory Lanez,downloads/Lady Of Namek - Tory Lanez.wav
Rigamortus,Kendrick Lamar,downloads/Rigamortus - Kendrick Lamar.wav
Give It To Me,Full Vocal Mix - Matt Sassari,downloads/Give It To Me - Full Vocal Mix - Matt Sassari.wav
Space Song,Beach House,downloads/Space Song - Beach House.wav
KEHLANI,Jordan Adetunji,downloads/KEHLANI - Jordan Adetunji.wav
Brand New City,Mitski,downloads/Brand New City - Mitski.wav
Blue Ridge Mountains,Fleet Foxes,downloads/Blue Ridge Mountains - Fleet Foxes.wav
Best Friend (feat. Doja Cat),Saweetie,downloads/Best Friend (feat. Doja Cat) - Saweetie.wav
Dance The Night,From Barbie The Album - Dua Lipa,downloads/Dance The Night - From Barbie The Album - Dua Lipa.wav
Luna,2011 Remaster - The Smashing Pumpkins,downloads/Luna - 2011 Remaster - The Smashing Pumpkins.wav
Say So,Doja Cat,downloads/Say So - Doja Cat.wav
Bohemian Rhapsody,Remastered 2011 - Queen,downloads/Bohemian Rhapsody - Remastered 2011 - Queen.wav
Modern Love,2018 Remaster - David Bowie,downloads/Modern Love - 2018 Remaster - David Bowie.wav
Welcome to the Machine,Pink Floyd,downloads/Welcome to the Machine - Pink Floyd.wav
Psychosocial,Slipknot,downloads/Psychosocial - Slipknot.wav
Construção,Chico Buarque,downloads/Construção - Chico Buarque.wav
Friendly Hallucinations,Mac Miller,downloads/Friendly Hallucinations - Mac Miller.wav
watch,Billie Eilish,downloads/watch - Billie Eilish.wav
perfEct,One Direction,downloads/perfEct - One Direction.wav
Bad Blood (Taylor's Version),Taylor Swift,downloads/Bad Blood (Taylor's Version) - Taylor Swift.wav
Mi Gente,J Balvin,downloads/Mi Gente - J Balvin.wav
Randomly,Lucki,downloads/Randomly - Lucki.wav
Thunder,Lana Del Rey,downloads/Thunder - Lana Del Rey.wav
Solitude,Billie Holiday,downloads/Solitude - Billie Holiday.wav
Not Strong Enough,Boygenius,downloads/Not Strong Enough - Boygenius.wav
Girls,The Kid Laroi,downloads/Girls - The Kid Laroi.wav
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,downloads/Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - Metro Boomin.wav
Invincible (feat. Daniel Caesar),omar apollo,downloads/Invincible (feat. Daniel Caesar) - omar apollo.wav
Thunderous,STRAY KIDS,downloads/Thunderous - STRAY KIDS.wav
idontwannabeyouanymore,Billie Eilish,downloads/idontwannabeyouanymore - Billie Eilish.wav
O Descobridor Dos Sete Mares,Tim Maia,downloads/O Descobridor Dos Sete Mares - Tim Maia.wav
Don't Dream It's Over,Crowded House,downloads/Don't Dream It's Over - Crowded House.wav
glock,Don Toliver,downloads/glock - Don Toliver.wav
Happy for You,Dua Lipa,downloads/Happy for You - Dua Lipa.wav
Partridge,Clairo,downloads/Partridge - Clairo.wav
MAFIA,Travis Scott,downloads/MAFIA - Travis Scott.wav
Empire Ants (feat. Little Dragon),Gorillaz,downloads/Empire Ants (feat. Little Dragon) - Gorillaz.wav
Hate Yourself,TV Girl,downloads/Hate Yourself - TV Girl.wav
Nothing Else Matters,Remastered 2021 - Metallica,downloads/Nothing Else Matters - Remastered 2021 - Metallica.wav
93 'til Infinity,Souls of Mischief,downloads/93 'til Infinity - Souls of Mischief.wav
Better Now,Post Malone,downloads/Better Now - Post Malone.wav
God's Plan,Drake,downloads/God's Plan - Drake.wav
Jacob and the Stone,Emile Mosseri,downloads/Jacob and the Stone - Emile Mosseri.wav
She's So High,Tal Bachman,downloads/She's So High - Tal Bachman.wav
you broke me first,Tate McRae,downloads/you broke me first - Tate McRae.wav
Tourniquet,Evanescence,downloads/Tourniquet - Evanescence.wav
Sei Que Tu Me Odeia,Anitta,downloads/Sei Que Tu Me Odeia - Anitta.wav
Freestyle 2,Ken Carson,downloads/Freestyle 2 - Ken Carson.wav
Gorgeous,Taylor Swift,downloads/Gorgeous - Taylor Swift.wav
Get Loud,Kiss Of Life,downloads/Get Loud - Kiss Of Life.wav
Drankin N Smokin,Future,downloads/Drankin N Smokin - Future.wav
Soft Spine,SpiritBox,downloads/Soft Spine - SpiritBox.wav
São Paulo (feat. Anitta),The Weeknd,downloads/São Paulo (feat. Anitta) - The Weeknd.wav
.,Girl In Red,downloads/. - Girl In Red.wav
I'll Call You Mine,Girl In Red,downloads/I'll Call You Mine - Girl In Red.wav
All These Things That I've Done,The Killers,downloads/All These Things That I've Done - The Killers.wav
out of love,RM,downloads/out of love - RM.wav
how u feel?,Destroy Lonely,downloads/how u feel? - Destroy Lonely.wav
Pure Cocaine,Lil Baby,downloads/Pure Cocaine - Lil Baby.wav
Dead Man Walking,Brent Faiyaz,downloads/Dead Man Walking - Brent Faiyaz.wav
Love Story,Taylor Swift,downloads/Love Story - Taylor Swift.wav
BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],Denzel Curry,downloads/BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK] - Denzel Curry.wav
Give a Little Bit,Supertramp,downloads/Give a Little Bit - Supertramp.wav
Fireflies,Owl City,downloads/Fireflies - Owl City.wav
The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! at the Disco,downloads/The Only Difference Between Martyrdom and Suicide Is Press Coverage - Panic! at the Disco.wav
El Mañana,Gorillaz,downloads/El Mañana - Gorillaz.wav
Love Shot,Exo,downloads/Love Shot - Exo.wav
Doo Wop (That Thing),Ms. Lauryn Hill,downloads/Doo Wop (That Thing) - Ms. Lauryn Hill.wav
I Live for You (2014 Remaster),George Harrison,downloads/I Live for You (2014 Remaster) - George Harrison.wav
I will come to you,Jin,downloads/I will come to you - Jin.wav
Adventure Of A Lifetime,Coldplay,downloads/Adventure Of A Lifetime - Coldplay.wav
Used (feat. Don Toliver),SZA,downloads/Used (feat. Don Toliver) - SZA.wav
Girl (feat. Kaytranada),The Internet,downloads/Girl (feat. Kaytranada) - The Internet.wav
All My Friends,A Day to Remember,downloads/All My Friends - A Day to Remember.wav
ROS,Mac Miller,downloads/ROS - Mac Miller.wav
Will I See You Again?,Thee Sacred Souls,downloads/Will I See You Again? - Thee Sacred Souls.wav
Sugar Rush Ride,TOMORROW X TOGETHER,downloads/Sugar Rush Ride - TOMORROW X TOGETHER.wav
